iter	Passed	Remaining
682	36121	16765
683	36176	16713
684	36228	16659
685	36277	16605
686	36319	16547
687	36350	16484
688	36404	16432
689	36471	16385
690	36522	16332
691	36530	16259
692	36581	16205
693	36623	16148
694	36688	16100
695	36739	16047
696	36805	15999
697	36857	15946
698	36909	15893
699	36975	15846
700	37017	15789
701	37058	15731
702	37107	15677
703	37155	15622
704	37222	15575
705	37262	15517
706	37313	15463
707	37359	15408
708	37401	15350
709	37468	15304
710	37521	15251
711	37562	15193
712	37590	15131
713	37657	15084
714	37710	15031
715	37776	14983
716	37829	14931
717	37882	14878
718	37917	14818
719	37977	14768
720	38017	14711
721	38082	14663
722	38128	14607
723	38193	14559
724	38240	14504
725	38302	14455
726	38372	14409
727	38409	14350
728	38451	14294
729	38475	14230
730	38521	14175
731	38581	14125
732	38646	14077
733	38712	14029
734	38778	13981
735	38820	13924
736	38873	13871
737	38934	13822
738	38999	13773
739	39068	13726
740	39133	13678
741	39203	13631
742	39260	13580
743	39329	13532
744	39396	13484
745	39465	13437
746	39498	13377
747	39503	13308
748	39569	13260
749	39623	13207
750	39628	13139
751	39674	13084
752	39725	13030
753	39767	12974
754	39818	12921
755	39874	12869
756	39939	12820
757	39991	12767
758	40030	12710
759	40081	12657
760	40089	12590
761	40141	12537
762	40194	12485
763	40221	12424
764	40266	12369
765	40317	12316
766	40358	12260
767	40424	12211
768	40438	12147
769	40500	12097
770	40541	12041
771	40607	11992
772	40648	11936
773	40713	11888
774	40779	11839
775	40830	11786
776	40884	11733
777	40950	11684
778	40997	11631
779	41065	11582
780	41091	11522
781	41156	11473
782	41208	11420
783	41271	11370
784	41337	11321
785	41389	11268
786	41410	11207
787	41448	11151
788	41489	11095
789	41516	11035
790	41566	10982
791	41636	10934
792	41687	10881
793	41742	10829
794	41746	10764
795	41797	10711
796	41851	10659
797	41925	10612
798	41973	10559
799	42023	10505
800	42058	10448
801	42108	10395
802	42155	10342
803	42221	10292
804	42310	10249
805	42363	10196
806	42384	10136
807	42453	10087
808	42480	10029
809	42531	9976
810	42581	9923
811	42621	9868
812	42687	9818
813	42738	9765
814	42791	9713
815	42842	9660
816	42898	9608
817	42960	9558
818	43027	9509
819	43079	9456
820	43133	9404
821	43164	9347
822	43216	9294
823	43279	9244
824	43305	9185
825	43357	9133
826	43411	9081
827	43466	9029
828	43517	8976
829	43582	8926
830	43624	8871
831	43676	8819
832	43729	8766
833	43769	8711
834	43810	8657
835	43868	8605
836	43921	8553
837	43987	8503
838	44055	8454
839	44107	8401
840	44152	8347
841	44206	8295
842	44281	8246
843	44334	8194
844	44360	8137
845	44411	8084
846	44478	8034
847	44529	7981
848	44541	7921
849	44608	7872
850	44677	7822
851	44717	7767
852	44759	7713
853	44824	7663
854	44878	7610
855	44930	7558
856	44981	7505
857	45033	7453
858	45099	7402
859	45167	7352
860	45219	7300
861	45284	7249
862	45374	7203
863	45384	7143
864	45414	7087
865	45487	7038
866	45554	6988
867	45609	6936
868	45676	6885
869	45716	6831
870	45768	6778
871	45819	6725
872	45860	6671
873	45913	6619
874	45965	6566
875	46016	6513
876	46084	6463
877	46137	6410
878	46190	6358
879	46269	6309
880	46321	6256
881	46372	6204
882	46426	6151
883	46478	6098
884	46530	6046
885	46597	5995
886	46637	5941
887	46690	5888
888	46743	5836
889	46770	5780
890	46820	5727
891	46883	5676
892	46924	5622
893	46991	5571
894	47042	5518
895	47094	5466
896	47145	5413
897	47198	5361
898	47261	5309
899	47313	5257
900	47365	5204
901	47418	5151
902	47471	5099
903	47536	5048
904	47589	4995
905	47610	4939
906	47661	4886
907	47712	4834
908	47773	4782
909	47840	4731
910	47907	4680
911	47973	4629
912	48014	4575
913	48067	4522
914	48117	4469
915	48168	4417
916	48238	4366
917	48295	4313
918	48349	4261
919	48411	4209
920	48453	4156
921	48504	4103
922	48543	4049
923	48590	3996
924	48641	3943
925	48670	3889
926	48721	3836
927	48773	3784
928	48824	3731
929	48872	3678
930	48938	3626
931	49004	3575
932	49056	3522
933	49109	3470
934	49175	3418
935	49252	3367
936	49319	3316
937	49362	3262
938	49414	3210
939	49456	3156
940	49508	3104
941	49572	3052
942	49624	2999
943	49664	2946
